Name,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
Anushka ,1,3,4,2,2,3,1,1,2,3
Ram,1,3,4,2,1,1,4,2,3,4
raju,2,3,1,1,2,3,1,3,1,3
bheem,3,3,2,1,2,4,2,2,1,4
choti,3,3,2,2,1,3,4,1,4,3
cat\,2,2,3,2,1,4,2,4,1,1
dog,2,3,2,1,1,3,3,3,1,4
mouse,1,2,3,2,2,4,1,1,4,1
elpehant,4,4,3,2,1,1,1,3,2,3
cow,2,3,4,1,1,3,2,2,2,1
pig,3,1,2,3,4,3,4,2,2,3
donkey,4,3,2,1,2,1,4,2,2,4
horse,4,3,3,3,1,1,4,2,1,3
monkey,4,4,4,2,1,1,4,1,1,1
vijay,1,1,2,2,1,2,1,4,3,2
sam,2,3,1,3,4,1,1,4,4,3
riya,4,3,2,3,2,3,1,1,1,4
anusha,4,4,2,2,1,2,3,4,1,2
hero,3,4,2,3,2,2,3,3,2,4
heroine ,4,2,3,2,1,1,4,1,3,4
anisha,2,3,4,1,1,1,1,4,3,3
random,1,1,2,2,2,1,3,2,4,1
0.266059634,1,1,1,1,1,1,1,1,1,1
0.566301731,1,3,4,4,1,4,1,1,2,2
0.720135984,3,4,4,1,1,3,1,1,2,1
0.629860143,1,4,3,4,1,4,1,4,4,3
0.234741993,2,2,2,4,3,3,4,1,2,1
0.299579737,3,3,3,4,1,3,3,1,2,4
0.950046975,1,2,3,2,2,1,3,3,2,4
0.32781923,2,2,4,1,4,1,4,3,2,3
0.765319975,3,2,3,1,1,2,4,2,1,3
0.402918656,1,4,1,3,1,2,3,2,4,3
0.589377484,3,4,2,1,1,1,4,3,4,4
0.116358706,2,4,3,2,1,4,4,3,2,4
0.017110849,1,2,4,2,3,1,3,4,3,1
0.797279369,1,3,3,3,1,1,1,1,1,3
0.70664663,1,4,2,1,2,4,3,3,4,2
0.95742925,4,2,3,3,4,1,4,3,3,1
0.409934842,2,3,1,1,4,3,3,1,4,4
0.211680107,3,3,3,2,3,2,1,3,2,1
0.656750383,2,3,4,2,3,4,3,4,1,2
0.917767864,1,4,4,1,1,2,3,2,4,4
0.85770652,4,2,1,1,1,2,3,4,2,4
0.700181349,4,3,3,1,2,4,3,1,4,3
0.532528851,1,3,4,1,1,1,1,2,4,2
0.479607059,2,1,3,4,4,1,2,4,4,3
0.415262678,1,1,3,3,1,2,4,2,2,3
0.73160776,3,4,1,2,1,2,2,3,1,2
0.217090299,3,2,2,1,3,1,4,1,3,3
0.875664815,4,2,4,2,4,4,1,4,2,2
0.029318159,1,4,1,2,2,2,1,3,1,2
0.939495579,4,4,3,2,2,3,1,2,3,4
0.476418516,2,2,2,1,4,3,4,1,4,2
0.246516659,4,2,4,4,2,4,3,4,2,4
0.573543533,3,1,4,4,3,1,4,1,4,1
0.640927144,3,4,4,2,1,4,2,2,1,1
0.02064529,4,1,2,2,1,1,3,4,1,2
0.501452355,3,3,2,4,3,4,4,1,3,3
0.58395703,4,4,1,1,3,4,1,4,1,4
0.41344312,2,1,2,4,2,3,4,1,3,3
0.037500854,2,1,4,2,3,1,2,3,4,3
0.551162466,2,2,4,2,2,4,3,3,1,4
0.686026561,4,4,2,4,3,1,3,4,4,3
0.747543472,4,4,4,1,1,2,1,3,4,1
0.097752834,3,2,3,4,4,2,3,1,1,2
0.631629821,4,4,2,4,2,3,1,2,2,2
0.619140969,4,1,2,4,4,1,4,3,1,3
0.754927539,2,2,1,2,1,4,1,1,4,4
0.098808481,1,1,4,2,4,3,4,4,2,2
0.763729478,3,2,1,2,3,3,3,1,2,3
0.008492788,4,4,4,2,4,4,4,1,4,1
